start_station_name
Orleans St & Chestnut St (NEXT Apts)
Desplaines St & Kinzie St
Calumet Ave & 18th St
Wolcott Ave & Polk St
Larrabee St & North Ave
Western Ave & Winnebago Ave
Larrabee St & Division St
Halsted St & Clybourn Ave
Streeter Dr & Grand Ave
Franklin St & Adams St (Temp)
Damen Ave & Wellington Ave
Clybourn Ave & Division St
Canal St & Jackson Blvd
Clark St & Elm St
Clinton St & Roosevelt Rd
Damen Ave & Cortland St
Laflin St & Cullerton St
Michigan Ave & Washington St
Throop St & Taylor St
Morgan St & 18th St
Franklin St & Chicago Ave
Larrabee St & Armitage Ave
Canal St & Taylor St
Leavitt St & Armitage Ave
Dearborn St & Monroe St
Broadway & Argyle St
Wood St & Milwaukee Ave
Lakefront Trail & Bryn Mawr Ave
Public Rack - Lawndale Ave & Diversey Ave
Albany Ave & Bloomingdale Ave
Wabash Ave & 16th St
Knox Ave & Montrose Ave
Avondale Ave & Irving Park Rd
Clark St & Newport St
Dearborn St & Van Buren St
Damen Ave & Melrose Ave
St Louis Ave & Norman Bobbins Ave
Sheridan Rd & Argyle St
Public Rack - Pulaski Rd & Armitage Ave
Wabash Ave & 9th St
Sheffield Ave & Wellington Ave
Damen Ave & Cullerton St
Theater on the Lake
Broadway & Sheridan Rd
Western Ave & Division St
Millennium Park
Damen Ave & Division St
Lincoln Ave & Diversey Pkwy
Pine Grove Ave & Waveland Ave
State St & Pearson St
Glenwood Ave & Morse Ave
Clark St & Lake St
Montrose Harbor
Michigan Ave & 18th St
Green St & Madison St
Peoria St & Jackson Blvd
Southport Ave & Wellington Ave
Seeley Ave & Roscoe St
Larrabee St & Menomonee St
Public Rack - Natoma Ave & Bryn Mawr Ave
W Armitage Ave & N Sheffield Ave
Elston Ave & Wabansia Ave
Sheridan Rd & Columbia Ave
Wells St & Concord Ln
Racine Ave & 13th St
Franklin St & Illinois St
McClurg Ct & Erie St
Buckingham Fountain
Albany Ave & Montrose Ave
California Ave & Fletcher St
Western Ave & Leland Ave
Francisco Ave & Bloomingdale Ave
LaSalle St & Illinois St
Aberdeen St & Monroe St
Halsted St & Roosevelt Rd
Ravenswood Ave & Berteau Ave
California & 16th St
Ogden Ave & Congress Pkwy
Hoyne Ave & Balmoral Ave
Sheridan Rd & Loyola Ave
Wentworth Ave & 35th St
Western Ave & Lake St
W Oakdale Ave & N Broadway
Broadway & Thorndale Ave
Chicago Ave & Sheridan Rd
Kedzie Ave & Harrison St
Ada St & Washington Blvd
N Carpenter St & W Lake St
Sheridan Rd & Greenleaf Ave
Claremont Ave & Hirsch St
Sheridan Rd & Noyes St (NU)
Field Blvd & South Water St
Leavitt St & Archer Ave
Milwaukee Ave & Rockwell St
Hoyne Ave & 47th St
DuSable Lake Shore Dr & Diversey Pkwy
Federal St & Polk St
State St & 29th St
Campbell Ave & Fullerton Ave
Loomis St & Jackson Blvd
Clarendon Ave & Gordon Ter
State St & Harrison St
State St & Kinzie St
Lakefront Trail & Wilson Ave
Racine Ave & Washington Blvd
Oakley Ave & Irving Park Rd
Ashland Ave & Lake St
Fort Dearborn Dr & 31st St
Public Rack - Langley Ave & 49th St
Lake Park Ave & 35th St
63rd St Beach
Western Ave & 21st St
South Shore Dr & 67th St
Dorchester Ave & 63rd St
Woodlawn Ave & 58th St
Indiana Ave & 31st St
Cottage Grove Ave & Oakwood Blvd
Drexel Ave & 60th St
Cottage Grove Ave & 63rd St
Halsted St & 37th St
Calumet Ave & 33rd St
Halsted St & 63rd St
Stony Island Ave & 64th St
Wilton Ave & Diversey Pkwy
DuSable Lake Shore Dr & Belmont Ave
Wabash Ave & Roosevelt Rd
Ashland Ave & Grand Ave
Green St & Washington Blvd
Kedzie Ave & Palmer Ct
Francisco Ave & Foster Ave
Lincoln Ave & Belle Plaine Ave
Clarendon Ave & Leland Ave
Rhodes Ave & 32nd St
Morgan St & 31st St
LaSalle St & Jackson Blvd
Cannon Dr & Fullerton Ave
Clark St & Berwyn Ave
Francisco Ave & Montrose Ave
Big Marsh Park
Western Ave & Gunnison St
Western Ave & Ardmore Ave
Richmond St & Lincoln Ave
California Ave & Marquette Rd
Yates Blvd & 75th St
Western Blvd & 48th Pl
Altgeld Gardens
Winchester (Ravenswood) Ave & Balmoral Ave
Stony Island Ave & 63rd St
Southport Ave & Clybourn Ave
Ashland Ave & 63rd St
LaSalle St & Adams St
Troy St & North Ave
Shields Ave & 43rd St
Western Ave & Lunt Ave
Kedzie Ave & 45th St
Shedd Aquarium
Sheffield Ave & Wrightwood Ave
Sedgwick St & Schiller St
Wood St & Augusta Blvd
Halsted St & Fulton St
Halsted St & Polk St
Greenview Ave & Diversey Pkwy
Rockwell St & Eastwood Ave
Keystone Ave & Fullerton Ave
Kedzie Ave & Leland Ave
Kingsbury St & Kinzie St
Wilton Ave & Belmont Ave
Wood St & Webster Ave
Larrabee St & Webster Ave
Kenneth Ave & Lawrence Ave
Homan Ave & 65th St
Damen Ave & Leland Ave
Ogden Ave & Chicago Ave
Kilbourn Ave & Milwaukee Ave
Sedgwick St & Huron St
Burling St & Diversey Pkwy
Lincoln Ave & Byron St
Pine Grove Ave & Irving Park Rd
Campbell Ave & North Ave
Paulina Ave & North Ave
Aberdeen St & Randolph St
Oakley Ave & Touhy Ave
Major Taylor Trail & 115th St
Normal Ave & Archer Ave
Western Ave & 24th St
Public Rack - Midway Orange Line
Ravenswood Ave & Lawrence Ave
Ravenswood Ave & Irving Park Rd
Lincoln Ave & Addison St
California Ave & Francis Pl
St. Louis Ave & Fullerton Ave
Winthrop Ave & Lawrence Ave
Dearborn Pkwy & Delaware Pl
Lamon Ave & Armitage Ave
Public Rack - Maplewood Ave & 47th St
Clinton St & Tilden St
Buckingham - Fountain
Artesian Ave & 55th St
Troy St & Grace St
Smith Park
Paulina St & Flournoy St
Budlong Woods Library
Stewart Ave & 63rd St
Austin Blvd & Madison St
Austin Blvd & Chicago Ave
Prairie Ave & Garfield Blvd
Public Rack - Washtenaw Ave & Devon Ave
Lincoln Ave & Balmoral Ave
Eastlake Ter & Howard St
Evans Ave & 75th St
Milwaukee Ave & Wabansia Ave
Racine Ave & Congress Pkwy
Morgan St & Lake St*
LaSalle St & Washington St
Marine Dr & Ainslie St
State St & 35th St
Albany Ave & Belmont Ave
Elston Ave & Henderson St
Perry Ave & 69th St
Lake Park Ave & 53rd St
Columbus Dr & Randolph St
Public Rack - Kedzie Ave & 60th St
Clark St & Chicago Ave
Public Rack - Laramie Ave & Belmont Ave
S Wentworth Ave & W 111th St
Clark St & Elmdale Ave
Damen Ave & Madison St
Wentworth Ave & Cermak Rd
Shields Ave & 28th Pl
Leavitt St & North Ave
Wentworth Ave & 63rd St
Calumet Ave & 35th St
Wood St & 35th St
Ellis Ave & 55th St
Greenwood Ave & 47th St
Kedzie Ave & Chicago Ave
Karlov Ave & Madison St
South Shore Dr & 74th St
State St & 33rd St
Hamlin Ave & Grand Ave
Blackstone Ave & Hyde Park Blvd
Central Ave & Chicago Ave
Ellis Ave & 60th St
Mies van der Rohe Way & Chicago Ave
900 W Harrison St
Racine Ave & 18th St
Morgan St & Polk St
Franklin St & Lake St
Western Ave & Berteau Ave
Kedzie Ave & Milwaukee Ave
Public Rack - May St & 63rd St
Vincennes Ave & 104th St
Fort Dearborn Dr & 31st St*
Elizabeth St & Randolph St
Logan Blvd & Elston Ave
Green St & Randolph St*
Dayton St & North Ave
Ritchie Ct & Banks St
Kedzie Ave & 48th Pl
Southport Ave & Irving Park Rd
Sheffield Ave & Webster Ave
Meade Ave & Addison St
Campbell Ave & 51st St
Woodlawn Ave & 75th St
Fairfield Ave & Roosevelt Rd
Calumet Park
Public Rack - Washington Park Ct & 51st St
Michigan Ave & 71st St
Kedzie Ave & Bryn Mawr Ave
Francisco Ave & Hollywood Ave
May St & 69th St
Public Rack - Hollywood Park
Princeton Ave & 47th St
McCormick Blvd & Devon Ave
Ping Tom Park (East)
Public Rack - Western Ave & Devon Ave
Dodge Ave & Main St
Avenue O & 118th St
Cottage Grove Ave & 111th Pl
Harding Ave & 26th St
Maplewood Ave & 59th St
Wells St & Institute Pl
Southport Ave & Wrightwood Ave
Clifton Ave & Armitage Ave
Ashland Ave & Chicago Ave
Sedgwick St & North Ave
Sangamon St & Lake St
Broadway & Belmont Ave
State St & Van Buren St
Indiana Ave & Roosevelt Rd
St Louis Ave & 59th St
Public Rack - Lamon Ave & Erie St
Damen Ave & Coulter St
Kenosha Ave & Wellington Ave
Narragansett Ave & School St
Cicero Ave & Flournoy St
Paulina St & Howard St
Canal St & Adams St
Leavitt St & Chicago Ave
Jeffery Blvd & 76th St
Warren Park West
Public Rack - Normal Ave & 111th St
Ashland Ave & 78th St
State St & 79th St
Michigan Ave & Oak St
Noble St & Milwaukee Ave (Temp)
Museum of Science and Industry
Humboldt Blvd & Armitage Ave
Shields Ave & 31st St
Spaulding Ave & Armitage Ave
Springfield Ave & 47th St
California Ave & 71st St
Artesian Ave & 71st St
Washtenaw Ave & Peterson Ave
Martin Luther King Dr & 111th St
California Ave & Granville Ave
Western Ave & Howard St
Public Rack - Calumet Ave & 51st St
Hampden Ct & Diversey Ave
Damen Ave/Coulter St
Elmwood Ave & Austin St
Public Rack - Hoyne Ave & 51st St
Artesian Ave & Marquette Rd
Public Rack - Cottage Grove & 86th St
Commercial Ave & 130th St
Commercial Ave & 100th St
Kedzie Ave & 21st St
